timestamp, accX, accY, accZ, gyroX, gyroY, gyroZ,timestamp_reset
162675,-0.05,0.12,11.65,-0.01,0.02,0.02,0
162772,-0.08,0.11,11.62,-0.01,0.02,0.02,97
162872,-0.1,0.11,11.62,-0.01,0.02,0.02,197
162972,-0.09,0.12,11.64,-0.01,0.02,0.02,297
163072,-0.07,0.14,11.63,-0.01,0.02,0.02,397
163172,-0.08,0.12,11.62,-0.01,0.02,0.02,497
163272,-0.1,0.11,11.62,-0.01,0.02,0.02,597
163373,-0.11,0.11,11.65,-0.01,0.02,0.01,698
163610,-0.06,0.1,11.65,-0.01,0.02,0.02,935
163709,-0.19,-4.96,12.92,0.09,0.11,-0.06,1034
163809,1.03,-2.7,11.33,0.19,0.12,0.01,1134
163909,-2.28,0.81,11.69,0.15,0.08,0.03,1234
164009,2.5,-1.26,10.7,0.08,-0.06,0.03,1334
164109,-0.01,0.93,12.56,-0.02,0.06,-0.03,1434
164209,-8.86,3.82,13.18,1.26,0.04,-0.81,1534
164309,-15.03,8.03,37.07,-0.69,1.18,0.51,1634
164409,9.08,8.69,5.76,1.41,0.6,1.01,1734
164509,-0.91,4.74,11.58,-2.14,0.11,0.22,1834
164609,-1.06,3.43,11.35,-0.03,-0.11,-0.13,1934
164709,1.24,4.08,13.82,-0.09,0.02,-0.12,2034
164809,0.55,-3.78,9.75,-0.14,0.18,-0.03,2134
164909,1.69,39.06,32.15,-0.33,0.07,-0.18,2234
165009,1.5,-4.43,5.39,2.05,0.03,0.11,2334
165109,-4.68,-2.24,21.91,1.64,1.19,-0.27,2434
165209,-4.33,-12.92,26.58,-0.05,-0.03,0.03,2534
165309,9.33,5.13,16.52,-0.74,1.13,-0.22,2634
165409,3.38,-6.9,19.88,-0.43,0.37,0.03,2734
165509,-0.82,4.07,10.55,0.31,0.83,-0.24,2834
165609,-1.06,1.91,4.64,0.32,-0.37,0.05,2934
165709,-0.75,-13.31,10.94,-0.83,-0.98,-0.68,3034
165809,10.97,22.31,24.91,-0.12,-0.8,0.04,3134
165909,-3.89,3.4,12.62,0.43,0.48,0.73,3234
166009,0.95,-15.3,40.63,0.77,-0.08,-0.03,3334
166109,-1.95,-6.23,12.9,-0.22,0.09,-0.12,3434
166209,2.03,2.54,12.2,-0.13,-0.09,-0.11,3534
166309,1.05,-2.23,8.27,-0.36,0.28,-0.05,3634
166603,-0.67,1.48,16.7,-0.14,-0.16,-0.1,3928
166702,2.62,3.86,11.03,-0.12,0.16,0.09,4027
166802,0.64,0.75,12.54,-0.11,0.09,0.08,4127
166902,-0.05,0.94,9.85,0.01,0.02,0.01,4227
167002,-0.46,1.39,11.39,0.01,-0.01,0.03,4327
167102,-0.19,1.08,11.65,0.0,0.0,0.0,4427
167202,-0.0,0.06,11.7,-0.01,0.02,0.02,4527
167302,-0.06,0.17,11.63,-0.01,0.02,0.02,4627
167402,-0.07,0.15,11.62,-0.01,0.02,0.02,4727
167502,-0.04,0.14,11.65,-0.01,0.02,0.02,4827
167602,-0.03,0.14,11.63,-0.01,0.02,0.02,4927
167702,-0.06,0.12,11.63,-0.01,0.02,0.02,5027
167802,-0.05,0.12,11.64,-0.01,0.02,0.02,5127
167902,-0.05,0.16,11.65,-0.01,0.02,0.02,5227
168002,-0.04,0.14,11.65,-0.01,0.02,0.02,5327
168102,-0.03,0.16,11.64,-0.01,0.02,0.02,5427
168202,-0.06,0.13,11.64,-0.01,0.02,0.02,5527
168302,-0.07,0.13,11.65,-0.01,0.02,0.02,5627
168415,-0.07,0.14,11.65,-0.03,0.08,0.06,5740
