timestamp, accX, accY, accZ, gyroX, gyroY, gyroZ,timestamp_reset
256577,0.26,0.15,11.72,-0.01,0.02,0.01,0
256674,0.29,0.15,11.72,-0.01,0.02,0.02,97
256774,0.26,0.13,11.71,-0.01,0.02,0.02,197
256874,0.24,0.13,11.7,-0.01,0.02,0.02,297
256974,0.25,0.13,11.73,-0.01,0.02,0.01,397
257074,0.28,0.15,11.72,-0.01,0.02,0.02,497
257174,0.25,0.15,11.73,-0.01,0.02,0.02,597
257423,0.28,0.14,11.73,-0.01,0.02,0.02,846
257522,1.41,-0.75,11.29,-0.03,0.02,0.04,945
257622,1.24,-0.02,10.54,0.07,-0.01,-0.04,1045
257722,1.86,1.19,12.87,0.14,0.04,-0.01,1145
257822,-0.2,-2.04,10.73,-0.13,-0.07,0.1,1245
257922,-1.51,-0.25,11.79,-0.21,0.01,0.08,1345
258022,-1.02,-0.29,12.22,-0.06,0.09,0.12,1445
258122,-1.91,-0.27,12.61,0.04,-0.08,0.08,1545
258222,0.57,-1.18,12.58,-0.03,0.01,0.08,1645
258322,-0.1,2.22,11.23,0.19,0.01,0.08,1745
258422,-0.04,-1.83,12.2,-0.23,0.09,0.08,1845
258522,1.2,-3.13,11.76,0.25,0.05,0.03,1945
258622,-0.56,-1.56,11.91,-0.33,-0.04,0.06,2045
258722,1.91,-1.3,11.01,0.23,0.13,0.05,2145
258822,0.56,0.65,10.24,-0.22,-0.07,0.06,2245
258922,-5.09,4.66,13.89,-1.07,-0.09,0.11,2345
259022,-0.2,-4.1,11.94,0.13,0.02,0.02,2445
259122,-0.14,-4.64,11.14,0.38,-0.29,-0.09,2545
259222,-1.3,1.6,9.3,0.08,-0.04,0.06,2645
259322,-0.51,4.88,11.31,0.59,0.74,-0.51,2745
259422,-2.05,1.06,12.91,0.11,-0.07,0.15,2845
259522,-0.58,-0.52,11.49,-0.09,0.2,0.08,2945
259622,-2.11,-3.7,21.12,-0.48,1.61,-0.23,3045
259722,0.28,3.01,12.79,0.11,0.01,0.11,3145
259822,-1.15,-0.74,11.53,-0.18,-0.1,0.13,3245
260083,-5.66,1.0,15.63,0.1,0.03,0.07,3506
260182,-0.04,1.02,12.02,0.03,0.05,-0.01,3605
260282,-0.74,1.0,12.39,-0.03,0.03,0.07,3705
260382,0.07,0.75,11.7,-0.03,0.03,0.01,3805
260482,0.29,-0.17,11.43,-0.01,0.02,0.02,3905
260582,0.26,0.12,11.74,-0.01,0.02,0.01,4005
260682,0.28,0.11,11.7,-0.01,0.02,0.02,4105
260782,0.27,0.08,11.7,-0.01,0.02,0.02,4205
260882,0.26,0.06,11.7,-0.01,0.02,0.02,4305
