timestamp, accX, accY, accZ, gyroX, gyroY, gyroZ,timestamp_reset
15065,0.25,0.12,11.69,-0.01,0.02,0.02,0
15162,0.28,0.1,11.7,-0.01,0.02,0.02,97
15262,0.3,0.13,11.69,-0.01,0.02,0.01,197
15362,0.29,0.12,11.71,-0.01,0.02,0.02,297
15462,0.26,0.1,11.72,-0.01,0.02,0.02,397
15562,0.29,0.12,11.71,-0.01,0.02,0.02,497
15662,0.28,0.12,11.72,-0.01,0.02,0.02,597
15762,0.31,0.13,11.7,-0.01,0.02,0.02,697
15862,0.29,0.12,11.67,-0.01,0.02,0.02,797
15962,0.28,0.12,11.72,-0.01,0.02,0.02,897
16062,0.29,0.11,11.71,-0.01,0.02,0.02,997
16162,0.31,0.12,11.71,-0.01,0.02,0.02,1097
16428,0.28,0.11,11.71,-0.01,0.02,0.02,1363
16527,0.34,-0.7,11.79,-0.03,0.01,0.06,1462
16627,-0.36,-0.13,9.79,-0.03,0.03,0.07,1562
16727,-1.01,1.23,10.09,-0.06,-0.02,0.02,1662
16827,-0.94,0.18,10.45,0.08,-0.02,0.13,1762
16927,0.57,2.76,10.14,0.15,0.04,0.05,1862
17027,-0.49,-3.14,13.71,-0.2,0.06,0.06,1962
17127,3.83,3.18,9.82,0.27,0.07,0.05,2062
17227,-1.14,-4.17,11.07,0.02,-0.09,0.09,2162
17327,-3.62,-0.39,10.11,-1.2,-0.67,-0.1,2262
17427,-0.55,3.17,13.75,-0.04,-0.11,0.01,2362
17527,0.78,-2.03,8.01,0.98,-0.22,-0.07,2462
17627,1.34,0.2,10.11,0.18,0.14,0.02,2562
17727,-1.8,2.86,8.2,0.87,-0.33,-0.32,2662
17827,-2.92,-0.83,13.29,-0.07,-0.23,0.08,2762
17927,2.65,2.94,8.83,-1.02,-0.3,0.14,2862
18027,7.7,0.26,10.96,0.23,0.15,0.16,2962
18127,0.53,-5.14,10.68,0.06,0.03,0.12,3062
18227,-1.56,-1.15,12.08,-0.27,0.05,0.1,3162
18475,-2.81,2.68,11.81,0.03,0.1,0.08,3410
18574,0.35,3.6,10.95,0.04,-0.0,0.19,3509
18674,0.94,1.16,12.57,-0.02,0.02,-0.0,3609
18774,0.2,0.83,11.8,-0.01,0.01,-0.01,3709
18874,0.19,-0.28,11.75,-0.01,0.03,0.02,3809
18974,0.31,-0.01,11.71,-0.01,0.02,0.01,3909
19074,0.32,0.05,11.74,-0.01,0.02,0.02,4009
19174,0.33,0.1,11.72,-0.01,0.02,0.02,4109
19274,0.32,0.09,11.66,-0.01,0.02,0.02,4209
