timestamp, accX, accY, accZ, gyroX, gyroY, gyroZ
71178, 0.36, 0.12, 11.69, -0.01, 0.02, 0.02
71275, 0.35, 0.13, 11.68, -0.01, 0.02, 0.01
71375, 0.36, 0.13, 11.67, -0.01, 0.02, 0.02
71475, 0.38, 0.13, 11.70, -0.01, 0.02, 0.02
71575, 0.39, 0.12, 11.69, -0.01, 0.02, 0.02
71675, 0.36, 0.13, 11.72, -0.01, 0.02, 0.02
71775, 0.34, 0.13, 11.68, -0.01, 0.02, 0.02
71875, 0.35, 0.13, 11.72, -0.01, 0.02, 0.01
71975, 0.38, 0.15, 11.70, -0.01, 0.02, 0.02
72075, 0.39, 0.14, 11.69, -0.01, 0.02, 0.02
72232, 0.37, 0.12, 11.67, -0.03, 0.07, 0.06
72275, 0.34, 0.14, 11.67, -0.01, 0.02, 0.02
72375, 0.34, 0.13, 11.71, -0.01, 0.02, 0.02
72475, 0.34, 0.12, 11.70, -0.01, 0.02, 0.01
72575, 0.38, 0.14, 11.67, -0.01, 0.02, 0.02
72675, 0.37, 0.14, 11.66, -0.01, 0.02, 0.02
72775, 0.38, 0.12, 11.70, -0.01, 0.02, 0.02
72875, 0.33, 0.15, 11.70, -0.01, 0.02, 0.02
72975, 0.34, 0.12, 11.69, -0.01, 0.02, 0.02
73075, 0.36, 0.14, 11.69, -0.01, 0.02, 0.01
73175, 0.35, 0.14, 11.70, -0.01, 0.02, 0.02
73275, 0.36, 0.13, 11.68, -0.01, 0.02, 0.02
73375, 0.37, 0.13, 11.70, -0.01, 0.02, 0.02
73475, 0.34, 0.12, 11.69, -0.01, 0.02, 0.02
73575, 0.34, 0.14, 11.68, -0.01, 0.02, 0.01
73675, 0.36, 0.11, 11.69, -0.01, 0.02, 0.02
73775, 0.37, 0.15, 11.68, -0.01, 0.02, 0.02
73875, 0.39, 0.11, 11.72, -0.01, 0.02, 0.01
74138, 0.35, 0.14, 11.69, -0.01, 0.02, 0.02
74669, -0.37, 1.46, 13.40, -0.01, 0.03, 0.03
74768, 0.76, -1.34, 9.96, 0.01, 0.09, 0.01
74868, -0.01, -2.45, 13.11, -0.18, -0.17, 0.06
74968, -2.44, -0.73, 11.49, -0.05, 0.12, 0.08
75068, -1.45, 2.85, 12.50, -0.04, 0.08, 0.06
75168, -1.36, -1.87, 11.97, -0.16, -0.05, 0.05
75268, -1.07, 3.10, 12.26, 0.02, 0.08, 0.02
75368, 0.41, 2.70, 12.97, -0.01, 0.07, 0.09
75468, -3.55, 2.32, 13.19, -0.22, 0.04, 0.10
75568, -2.60, -0.48, 11.65, 0.03, -0.04, 0.11
75812, -0.58, 1.68, 13.51, -0.02, -0.10, 0.15
