timestamp, accX, accY, accZ, gyroX, gyroY, gyroZ
93234, 10.11, -87.45, -10.73, 0.00, 0.00, 0.00
93314, 10.11, -117.44, 16.55, -1.30, 18.10, 0.27
93413, 0.00, -117.44, 16.55, -1.30, -24.40, 0.27
93513, 0.00, -117.44, 16.55, -1.30, 3.11, 0.27
93613, 0.00, -117.44, 16.55, -1.30, 30.36, 0.27
93713, 10.11, -117.44, 16.55, -1.30, -12.14, 0.27
94022, 10.11, -87.45, -10.73, 0.00, 0.00, 0.00
94121, 0.00, -117.44, 16.55, -1.30, 29.27, 0.27
94221, 10.11, -117.44, 16.55, -1.30, -13.23, 0.27
94321, 0.00, -117.44, 16.55, -1.30, 13.74, 0.27
94422, 0.00, -117.44, 16.55, -1.30, -28.49, 0.27
94522, 0.00, -117.44, 16.55, -1.30, -1.24, 0.27
94621, 0.00, -117.44, 16.55, -1.30, 25.73, 0.27
94721, 10.11, -117.44, 16.55, -1.30, -16.77, 0.27
95492, 10.11, -117.44, 16.55, -1.30, 3.66, 0.27
95591, 10.11, -117.44, 16.55, -1.30, 11.29, 0.27
95691, 0.00, -117.44, 16.55, -1.30, -31.48, 0.27
96012, 0.00, -117.44, 16.55, -1.30, -6.96, 0.27
96111, 0.00, -117.44, 16.55, -1.30, 13.20, 0.27
96881, 0.00, -117.44, 16.55, -1.30, 33.36, 0.27
97440, 10.11, -87.45, -10.73, 0.00, 0.00, 0.00
97539, 10.11, -117.44, 16.55, -1.30, -15.94, 0.27
97639, 0.00, -117.44, 16.55, -1.30, 11.30, 0.27
97739, 0.00, -117.44, 16.55, -1.30, -31.20, 0.27
97839, 0.00, -117.44, 16.55, -1.30, -3.95, 0.27
97939, 10.11, -117.44, 16.55, -1.30, 23.02, 0.27
98040, 0.00, -117.44, 16.55, -1.30, -19.48, 0.27
98139, 0.00, -117.44, 16.55, -1.30, 8.04, 0.27
98676, 0.00, -117.44, 16.55, -1.30, 27.92, 0.27
98774, 0.00, -117.44, 16.55, -1.30, -28.47, 0.27
98875, 0.00, -117.44, 16.55, -1.30, -0.95, 0.27
99178, 10.11, -117.44, 16.55, -1.30, 18.39, 0.27
99478, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
99577, -5.83, -117.44, 16.55, -1.30, -18.93, 0.27
