timestamp, accX, accY, accZ, gyroX, gyroY, gyroZ
401962, 0.31, 0.15, 11.71, -0.01, 0.02, 0.02
402060, 0.30, 0.16, 11.72, -0.01, 0.02, 0.02
402160, 0.30, 0.16, 11.71, -0.01, 0.02, 0.02
402260, 0.31, 0.14, 11.73, -0.01, 0.02, 0.01
402360, 0.31, 0.17, 11.70, -0.01, 0.02, 0.02
402662, 0.30, 0.17, 11.69, -0.01, 0.02, 0.02
402761, 4.45, -3.00, 9.23, 0.05, 0.01, 0.10
402861, 5.58, -0.04, 8.49, 0.02, 0.14, 0.03
402961, 3.06, -1.56, 11.40, 0.05, -0.00, 0.07
403061, 2.79, -3.22, 10.87, -0.11, -0.02, 0.11
403161, -1.87, 2.26, 12.58, 0.10, 0.11, 0.13
403261, 0.35, 0.68, 13.27, 0.00, -0.09, 0.11
403361, 2.57, 0.15, 12.22, 0.11, 0.12, -0.01
403461, -2.09, -0.30, 12.51, 0.05, -0.06, 0.18
403561, -0.42, -1.92, 12.31, 0.15, 0.11, 0.23
403661, 0.35, -3.19, 10.09, -0.13, 0.18, 0.16
403761, -1.00, -1.18, 11.94, 0.06, -0.08, 0.19
403861, 0.56, -3.22, 13.05, 0.13, -0.06, 0.15
404163, 2.23, -0.42, 10.53, 0.03, 0.02, 0.18
404648, 7.40, 4.00, 12.30, -0.55, 0.16, -1.32
404747, 0.73, 2.96, 12.47, 0.06, 0.00, -0.06
405492, 0.35, 1.60, 12.11, -0.04, 0.01, 0.02
405591, 1.50, 1.81, 11.39, 0.33, -0.06, 0.03
405691, 2.57, -3.43, 13.79, 0.13, 0.04, 0.10
405791, -2.09, 0.39, 13.33, 0.03, -0.08, 0.00
405891, 2.03, -2.28, 9.88, -0.23, 0.06, 0.11
405991, 1.34, -0.88, 11.79, -0.16, 0.14, 0.10
406091, 0.36, -2.12, 14.58, 0.07, 0.06, 0.10
406191, 2.38, -3.66, 2.52, -1.32, 0.61, 0.00
406487, 3.70, 5.29, 4.92, -0.35, 0.31, 0.41
406586, 5.77, 0.42, 7.30, 0.20, -0.27, 0.02
406686, 0.44, 2.01, 11.64, -0.11, -0.04, 0.09
406786, 1.51, 1.58, 10.25, 0.01, 0.07, 0.08
406886, 0.25, 0.88, 11.78, 0.01, 0.02, 0.04
406986, 0.29, -0.28, 11.76, -0.02, 0.03, 0.02
407086, 0.33, 0.07, 11.69, -0.01, 0.02, 0.02
407828, 0.34, 0.09, 11.67, -0.01, 0.02, 0.02
407927, 0.28, -1.61, 11.25, 0.05, -0.15, 0.08
408027, 0.48, -3.75, 11.81, -0.03, -0.10, 0.12
408127, -3.55, 2.56, 14.26, 0.00, 0.03, 0.13
408227, -0.75, 1.52, 13.62, -0.13, -0.02, 0.09
408327, 1.46, 1.35, 10.76, 0.08, 0.08, 0.07
408427, -1.46, 0.64, 11.62, -0.04, -0.04, 0.08
408527, -0.20, 0.40, 11.09, -0.07, -0.01, 0.05
408772, 1.31, 0.91, 9.19, -0.20, 0.10, 0.15
409021, 1.34, -1.24, 9.06, 0.06, 0.12, 2.00
409120, 6.35, -3.61, 11.29, 0.07, -0.21, 0.82
409417, 0.28, 0.25, 11.74, -0.01, 0.02, 0.02
409659, 0.29, 0.13, 11.70, -0.01, 0.02, 0.01
409758, 1.86, -2.37, 10.42, -0.13, 0.04, 0.03
409858, -1.11, -2.01, 11.86, -0.23, -0.07, 0.08
409958, -1.45, 0.54, 12.24, 0.08, -0.01, 0.10
410058, -1.97, 0.50, 12.94, 0.03, -0.03, 0.08
410158, 0.46, -2.76, 10.07, -0.00, 0.01, 0.08
410258, 1.46, 0.94, 10.56, 0.12, 0.01, 0.16
410559, -0.11, 1.81, 11.76, 0.08, 0.01, 0.29
410825, 0.47, 0.52, 12.92, -0.10, 0.01, 0.08
410924, 6.28, -5.03, 7.20, -0.08, -0.00, 1.24
411024, -12.71, 11.74, 21.54, -0.24, 0.31, 1.15
411124, 12.31, -9.45, 7.11, -0.33, -0.68, 1.45
411399, 12.97, -13.27, 2.22, 0.03, -0.56, 1.43
411498, -4.22, 1.61, 13.93, 0.11, 0.32, 0.43
411598, 0.45, -0.28, 11.35, -0.01, 0.02, 0.01
411698, 0.27, -0.01, 11.74, -0.01, 0.02, 0.01
411798, 0.25, 0.08, 11.72, -0.01, 0.02, 0.02
412279, 2.66, -1.52, 7.82, -0.17, -0.14, 1.81
412378, -3.39, -0.42, 14.99, -0.14, 0.06, 0.11
412478, 0.11, 0.29, 11.73, -0.01, 0.02, 0.01
412790, 0.20, 0.11, 11.71, -0.01, 0.02, 0.01
412889, 2.72, -1.11, 10.92, -0.05, 0.07, -0.05
412989, 1.90, -1.78, 10.20, -0.02, 0.17, 0.01
413089, -1.05, -1.49, 12.41, 0.04, 0.05, 0.07
413189, -0.73, -1.90, 11.08, -0.00, 0.04, 0.06
414150, 1.26, 1.35, 12.64, -0.00, 0.09, -0.01
414249, 2.25, -1.61, 9.90, -0.15, 0.01, 0.13
414349, 0.74, -2.70, 14.94, -0.32, -0.12, -0.05
414449, -2.09, -8.50, 33.40, 0.19, 0.18, -0.01
414549, 2.15, 0.23, 11.36, -0.03, -0.02, 0.07
414824, -1.21, -1.02, 11.92, 0.00, 0.07, 0.07
414923, -2.73, 7.06, 13.78, -0.03, 0.04, 0.07
415023, -0.14, -0.34, 13.54, 0.03, 0.04, 0.03
415290, 0.20, 1.08, 11.34, 0.00, 0.01, 0.01
415389, -0.84, -0.88, 12.41, -0.17, 0.08, 0.10
415489, 1.70, -2.96, 10.94, -0.38, 0.03, 0.01
415769, 3.54, 0.64, 10.29, -0.02, -0.05, 0.13
