timestamp, accX, accY, accZ, gyroX, gyroY, gyroZ
44631, 0.32, 0.18, 11.62, -0.01, 0.02, 0.02
44728, 0.34, 0.19, 11.64, -0.01, 0.02, 0.02
44828, 0.35, 0.18, 11.62, -0.01, 0.02, 0.02
44928, 0.34, 0.19, 11.64, -0.01, 0.02, 0.02
45028, 0.35, 0.17, 11.62, -0.01, 0.02, 0.02
45128, 0.33, 0.18, 11.61, -0.01, 0.02, 0.02
45228, 0.34, 0.18, 11.64, -0.01, 0.02, 0.02
45328, 0.33, 0.18, 11.65, -0.01, 0.02, 0.02
45428, 0.34, 0.17, 11.61, -0.01, 0.02, 0.01
45528, 0.33, 0.18, 11.63, -0.01, 0.02, 0.02
45628, 0.31, 0.17, 11.62, -0.01, 0.02, 0.02
45728, 0.30, 0.16, 11.63, -0.01, 0.02, 0.02
45828, 0.32, 0.18, 11.65, -0.01, 0.02, 0.02
45928, 0.32, 0.18, 11.61, -0.01, 0.02, 0.02
46028, 0.33, 0.17, 11.63, -0.01, 0.02, 0.01
46281, 0.32, 0.20, 11.65, -0.01, 0.02, 0.02
46380, 1.12, -2.50, 11.24, -0.15, 0.04, -0.02
46480, -1.37, -1.48, 9.21, 0.13, -0.01, 0.04
46580, -2.46, -0.62, -0.62, -0.07, -0.07, -0.07
46680, -1.40, -0.61, 12.71, -0.00, 0.06, 0.06
46780, -0.23, 3.61, 12.65, 0.01, 0.03, 0.02
46880, 1.08, -2.28, 11.63, 0.01, 0.07, 0.07
47144, 1.30, -8.51, 20.54, -0.17, 0.43, -0.04
47460, -0.14, 2.09, 11.98, 0.04, -0.00, 0.17
47976, -0.77, 2.85, 12.34, -0.05, 0.07, 0.03
48075, 0.15, -1.14, 7.89, -0.11, -0.13, 0.07
48175, 4.30, -0.31, 7.98, -0.25, 0.04, 0.01
48275, 1.53, -3.49, 9.55, -0.14, 0.10, 0.02
48375, 1.72, -3.15, 9.82, -0.06, 0.07, 0.04
48475, 1.75, 2.08, 11.50, -0.08, -0.05, 0.06
48575, -1.79, -1.53, 12.95, 0.02, 0.10, 0.05
48853, 1.72, 0.69, 12.07, -0.04, 0.19, 0.13
48952, 2.72, 4.30, 10.23, 0.04, 0.07, 0.04
49216, 0.30, 1.30, 11.40, -0.01, 0.02, 0.01
49315, 0.33, -1.51, 11.27, -0.10, -0.03, -0.03
49415, -0.32, 1.53, 13.18, 0.05, -0.02, 0.05
49515, 1.24, 2.74, 12.43, 0.04, 0.07, 0.03
49615, -0.83, -0.81, 11.35, 0.00, -0.06, 0.07
49715, 2.70, 2.17, 8.89, -0.05, -0.06, 0.09
49815, -3.46, 2.32, 9.02, -0.71, -0.62, 0.19
51019, 6.90, 2.22, 7.48, -0.49, 0.21, -1.31
51118, 2.38, 2.47, 11.82, -0.16, -0.05, 0.01
51422, 0.34, 0.11, 11.61, -0.01, 0.02, 0.02
51521, -0.65, -3.02, 12.93, 0.03, 0.04, 0.07
51621, 3.45, 0.06, 11.52, 0.08, -0.09, 0.03
51721, -1.24, -0.74, 12.25, 0.18, -0.01, 0.06
51821, -1.32, -2.57, 12.79, -0.31, 0.14, 0.05
51921, -0.05, -3.48, 12.52, -0.10, 0.16, -0.01
52021, 4.41, -0.29, 9.05, -0.00, 0.03, 0.07
52121, 2.51, 3.47, 12.33, 0.07, -0.07, 0.12
52221, -1.20, -0.22, 11.95, 0.19, 0.02, 0.12
52321, 0.22, 3.27, 12.97, 0.04, 0.01, 0.06
52421, 1.45, 1.31, 11.51, 0.02, -0.11, 0.15
52521, 0.39, -1.35, 11.14, -0.14, 0.07, 0.21
52621, 0.21, -2.77, 12.19, 0.10, 0.04, 0.12
52721, -0.09, -5.16, 7.76, -0.34, -0.03, 0.22
52821, -2.75, -1.88, 5.72, 0.11, -0.39, 0.03
52921, -1.42, -2.44, 11.83, 0.06, -0.02, 0.13
53021, 9.25, -0.70, 20.20, 1.11, -0.55, 0.09
53121, 1.43, 3.15, 3.43, -0.21, 0.14, 0.16
53221, 1.43, -2.61, 11.66, 0.04, -0.01, 0.13
53321, 2.06, -1.03, 9.37, 0.18, 0.08, 0.17
53421, -0.60, 1.98, 12.13, -0.02, -0.08, 0.15
53521, -0.36, 0.45, 11.94, -0.07, -0.03, 0.13
53621, -0.43, 0.80, 11.20, 0.18, 0.11, 0.07
53721, 0.98, -1.80, 10.20, -0.17, 0.06, 0.12
53821, -0.14, 0.77, 13.11, 0.05, 0.01, 0.06
53921, 2.48, 2.30, 12.00, -0.02, -0.05, 0.19
54021, 0.67, -1.56, 11.65, -0.24, -0.04, 0.20
54121, 2.15, 0.27, 9.16, -0.09, -0.02, 0.17
54221, 0.01, -2.46, 11.33, 0.03, 0.08, 0.11
54321, -0.02, 2.84, 13.30, 0.13, 0.11, 0.11
54421, -1.11, 0.24, 8.14, -1.05, -0.03, -0.30
54521, 1.53, -6.12, 10.15, 0.44, -0.20, 0.05
54621, 2.32, 2.39, 6.56, 0.08, 0.26, 0.15
55594, -2.17, -0.79, 11.03, -0.10, -0.11, 0.09
56082, 6.53, 0.19, 9.25, -0.11, -0.29, 0.01
56181, 0.44, -0.54, 12.37, 0.03, 0.09, 0.02
56281, -0.82, 1.11, 11.94, 0.05, 0.06, 0.05
56381, 0.36, 0.81, 11.59, 0.01, 0.02, 0.02
