timestamp, accX, accY, accZ, gyroX, gyroY, gyroZ
336316, 11.09, 11.27, 12.95, 0.83, -0.80, 1.04
336408, 11.19, 11.33, 12.94, 0.87, -0.81, 1.10
336508, 11.09, 11.40, 12.96, 0.82, -0.78, 1.09
336608, 11.10, 11.37, 13.01, 0.84, -0.80, 1.05
336708, 11.11, 11.35, 12.85, 0.79, -0.82, 1.07
336972, 11.09, 11.29, 12.95, 0.86, -0.78, 1.07
337071, 11.38, 11.96, 12.21, 0.95, -0.99, 1.23
337171, 21.22, 5.41, 10.98, 1.19, -0.74, 1.05
337271, 19.52, 7.02, 19.69, 0.44, -1.16, 0.31
337371, 13.55, -3.55, 5.42, 1.00, -0.65, 2.31
337471, 16.67, 9.92, 17.29, 0.76, -0.83, 1.30
337571, 22.64, 6.28, 7.55, 1.03, -0.95, 0.35
337671, 44.64, 27.35, 36.32, -3.70, -0.05, 0.96
337771, 11.50, 27.90, -11.74, 2.24, -0.74, 1.48
337871, 9.74, 15.44, 3.26, -0.70, -0.77, 1.58
337971, 2.94, 23.08, 2.57, 1.22, -0.76, 1.04
338071, 28.53, 14.90, 20.75, 0.73, -0.70, 1.36
338171, 7.44, 3.70, 1.24, 0.92, -0.56, -0.08
338271, -7.97, 6.76, 10.54, 0.59, -0.95, 1.15
338371, 25.49, 3.56, -2.03, 1.46, -0.63, 0.18
338471, -21.65, 23.86, 56.49, 3.70, -2.14, 0.11
338571, 13.94, -2.03, 54.06, 2.40, 0.45, 1.18
338671, 9.36, 16.10, 8.41, 0.99, -1.75, 1.01
338771, 13.57, 28.25, 23.07, 2.72, 0.00, 3.05
338871, 18.51, 0.49, 7.32, 0.93, -0.98, 0.00
338971, -3.24, 31.55, 47.28, -0.69, -3.04, 1.60
339071, -8.30, -7.32, 12.47, -1.78, -0.75, 0.83
339171, 2.10, 6.42, 7.73, 4.20, -0.54, 1.67
339271, 14.70, 21.62, 13.43, -0.11, -0.24, 2.55
339371, 1.80, -13.01, 47.62, 1.29, 3.06, 1.87
339471, 3.79, 6.90, 6.68, 0.58, -0.91, 0.38
339571, 3.80, 1.98, 12.03, 0.94, -1.03, 1.26
339671, 18.78, 4.82, 9.95, 1.27, -2.35, 1.08
339771, 23.36, -9.34, 1.42, 2.05, -1.17, 1.31
340044, 7.48, 12.07, 15.38, 0.40, -1.15, 0.29
340143, 23.61, 17.20, 10.02, 1.08, -1.06, 0.94
340243, 11.21, 14.66, 14.68, 0.50, -0.15, 1.49
340343, 8.86, 12.78, 14.82, 0.67, -0.69, 0.90
340443, 10.29, 10.90, 12.49, 0.85, -0.90, 1.11
340543, 10.90, 12.67, 12.10, 0.82, -0.79, 1.08
340643, 11.18, 11.28, 13.59, 0.84, -0.81, 1.10
340743, 11.22, 11.41, 12.96, 0.87, -0.81, 1.04
340843, 11.20, 11.31, 12.89, 0.80, -0.80, 1.10
340943, 11.14, 11.35, 12.94, 0.82, -0.79, 1.09
341043, 11.23, 11.33, 12.99, 0.88, -0.81, 1.05
341143, 11.22, 11.38, 12.94, 0.80, -0.81, 1.08
341243, 11.13, 11.34, 12.89, 0.82, -0.80, 1.08
341343, 11.17, 11.31, 12.89, 0.86, -0.79, 1.09
341443, 11.13, 11.31, 12.94, 0.80, -0.80, 1.07
341543, 11.10, 11.31, 12.95, 0.86, -0.81, 1.09
341643, 11.08, 11.28, 12.92, 0.81, -0.81, 1.05
341743, 11.16, 11.32, 12.87, 0.87, -0.80, 1.07
341843, 11.09, 11.29, 12.94, 0.85, -0.80, 1.09
341943, 11.15, 11.34, 12.93, 0.80, -0.83, 1.06
342043, 11.12, 11.30, 13.02, 0.86, -0.79, 1.04
342143, 11.16, 11.37, 12.94, 0.82, -0.80, 1.09
342243, 11.20, 11.30, 12.98, 0.78, -0.83, 1.05
342343, 11.20, 11.35, 12.89, 0.89, -0.81, 1.11
342443, 11.24, 11.39, 12.95, 0.85, -0.77, 1.03
342543, 11.20, 11.37, 12.96, 0.87, -0.79, 1.07
342643, 11.20, 11.39, 12.90, 0.81, -0.80, 1.08
342743, 11.24, 11.32, 12.90, 0.86, -0.81, 1.09
342843, 11.20, 11.37, 12.91, 0.87, -0.81, 1.10
342943, 11.20, 11.37, 12.91, 0.80, -0.81, 1.07
343043, 11.19, 11.35, 12.94, 0.85, -0.83, 1.09
