timestamp, accX, accY, accZ, gyroX, gyroY, gyroZ
371740, 0.32, 0.14, 11.65, -0.01, 0.02, 0.02
371814, 0.31, 0.12, 11.67, -0.01, 0.02, 0.02
371913, 0.32, 0.12, 11.67, -0.01, 0.02, 0.02
372013, 0.31, 0.13, 11.70, -0.01, 0.02, 0.02
372113, 0.30, 0.12, 11.67, -0.01, 0.02, 0.02
372213, 0.28, 0.12, 11.68, -0.01, 0.02, 0.02
372313, 0.32, 0.11, 11.69, -0.01, 0.02, 0.02
372413, 0.32, 0.12, 11.66, -0.01, 0.02, 0.01
372513, 0.32, 0.13, 11.67, -0.01, 0.02, 0.02
372613, 0.31, 0.12, 11.68, -0.01, 0.02, 0.02
372713, 0.32, 0.12, 11.67, -0.01, 0.02, 0.01
372813, 0.30, 0.13, 11.67, -0.01, 0.02, 0.02
372913, 0.31, 0.12, 11.68, -0.01, 0.02, 0.02
373013, 0.33, 0.13, 11.68, -0.01, 0.02, 0.02
373113, 0.31, 0.14, 11.67, -0.01, 0.02, 0.01
373213, 0.33, 0.14, 11.68, -0.01, 0.02, 0.01
373313, 0.34, 0.14, 11.68, -0.01, 0.02, 0.01
373413, 0.31, 0.12, 11.69, -0.01, 0.02, 0.02
373513, 0.29, 0.12, 11.67, -0.01, 0.02, 0.02
373613, 0.31, 0.13, 11.69, -0.01, 0.02, 0.02
373713, 0.30, 0.13, 11.63, -0.01, 0.02, 0.01
373813, 0.33, 0.13, 11.69, -0.01, 0.02, 0.02
373913, 0.35, 0.12, 11.69, -0.01, 0.02, 0.02
374013, 0.33, 0.14, 11.69, -0.01, 0.02, 0.02
374113, 0.32, 0.12, 11.68, -0.01, 0.02, 0.02
374213, 0.30, 0.10, 11.69, -0.01, 0.02, 0.01
374313, 0.31, 0.13, 11.65, -0.01, 0.02, 0.02
374413, 0.29, 0.13, 11.69, -0.01, 0.02, 0.02
374513, 0.29, 0.15, 11.64, -0.01, 0.02, 0.02
374613, 0.33, 0.13, 11.69, -0.01, 0.02, 0.02
374713, 0.34, 0.14, 11.70, -0.01, 0.02, 0.02
374813, 0.31, 0.13, 11.69, -0.01, 0.02, 0.02
375056, 0.34, 0.14, 11.69, -0.01, 0.02, 0.01
375362, 0.09, -1.02, 11.23, 0.04, 0.01, -0.00
375601, 1.36, -0.84, 11.93, -0.02, 0.01, 0.06
375700, 0.01, -3.16, 11.33, 0.02, 0.04, -0.01
375800, -1.13, -4.13, 13.63, -0.17, -0.02, 0.07
375900, 4.22, -2.01, 10.93, 0.05, -0.05, -0.00
376000, -2.15, 0.32, 11.79, -0.07, 0.02, 0.08
376100, 1.09, 1.09, 11.03, -0.08, 0.08, 0.08
376200, 1.38, 1.30, 13.45, -0.09, -0.07, 0.02
376300, -0.00, 1.36, 11.73, -0.13, 0.09, 0.10
376400, -1.98, 1.57, 13.06, 0.05, 0.01, 0.06
376500, 0.66, -2.01, 9.75, 0.07, -0.03, 0.07
376600, -0.33, -1.01, 11.07, -0.20, -0.02, 0.10
377101, 0.24, 0.64, 14.16, -0.07, 0.02, -0.02
377200, -1.92, 3.55, 11.82, -0.12, -0.11, 0.12
377300, -1.28, -3.24, 12.63, -0.19, -0.04, 0.08
377400, 1.13, -2.86, 10.68, -0.12, 0.04, 0.04
377500, 2.51, 1.39, 13.25, 0.21, -0.00, 0.02
377600, 0.37, 3.83, 13.03, 0.15, 0.03, 0.04
377700, -0.70, -1.72, 11.63, 0.00, -0.01, 0.06
377800, 1.73, 2.24, 13.32, 0.04, 0.11, 0.03
377900, 0.21, 2.06, 12.70, 0.02, 0.14, -0.01
378000, -0.27, 0.75, 13.28, 0.04, 0.12, 0.07
378100, -1.61, -0.06, 13.08, 0.18, -0.06, 0.09
378200, 1.57, -2.20, 12.06, 0.13, 0.07, 0.05
378300, 0.53, -4.52, 11.37, 0.06, 0.00, 0.08
378400, 0.65, -1.52, 12.56, 0.12, 0.08, 0.08
378500, 2.06, 0.65, 13.93, 0.07, 0.03, 0.11
378600, 0.71, -2.08, 3.52, -0.83, -0.12, 0.45
378700, 9.45, -10.79, 5.37, 1.74, -0.11, 0.08
378800, -1.38, 7.42, 12.46, 1.05, 1.09, -0.82
378900, -4.84, 4.63, 7.53, -0.62, 0.11, 0.48
380306, 1.69, 1.57, 12.28, -0.05, 0.04, 0.05
380405, 2.52, 0.38, 10.70, 0.16, -0.10, -0.05
380505, 0.07, -0.85, 11.66, -0.16, -0.05, 0.09
380605, 0.73, -4.36, 10.54, 0.06, 0.01, 0.15
380705, 0.10, -1.98, 10.92, 0.13, -0.04, 0.04
380805, 0.62, -2.95, 10.33, -0.03, -0.02, 0.06
