timestamp, accX, accY, accZ, gyroX, gyroY, gyroZ
459800, 0.30, 0.12, 11.72, -0.01, 0.02, 0.02
459897, 0.31, 0.15, 11.70, -0.01, 0.02, 0.02
459997, 0.28, 0.14, 11.68, -0.01, 0.02, 0.02
460097, 0.29, 0.15, 11.70, -0.01, 0.02, 0.01
460197, 0.30, 0.15, 11.71, -0.01, 0.02, 0.02
460297, 0.30, 0.14, 11.73, -0.01, 0.02, 0.02
460397, 0.31, 0.14, 11.73, -0.01, 0.02, 0.01
460497, 0.30, 0.15, 11.73, -0.01, 0.02, 0.01
460597, 0.32, 0.15, 11.69, -0.01, 0.02, 0.02
460697, 0.33, 0.15, 11.73, -0.01, 0.02, 0.02
460797, 0.34, 0.14, 11.74, -0.01, 0.02, 0.02
460897, 0.32, 0.17, 11.71, -0.01, 0.02, 0.02
460997, 0.31, 0.15, 11.74, -0.01, 0.02, 0.01
461097, 0.31, 0.13, 11.71, -0.01, 0.02, 0.01
461197, 0.31, 0.16, 11.71, -0.01, 0.02, 0.01
461297, 0.31, 0.14, 11.70, -0.01, 0.02, 0.02
461397, 0.30, 0.15, 11.69, -0.01, 0.02, 0.02
461497, 0.29, 0.14, 11.71, -0.01, 0.02, 0.02
461597, 0.29, 0.13, 11.72, -0.01, 0.02, 0.01
461697, 0.30, 0.13, 11.73, -0.01, 0.02, 0.02
461797, 0.29, 0.17, 11.69, -0.01, 0.02, 0.02
461897, 0.33, 0.16, 11.71, -0.01, 0.02, 0.02
461997, 0.32, 0.17, 11.72, -0.01, 0.02, 0.02
462097, 0.31, 0.16, 11.72, -0.01, 0.02, 0.02
462197, 0.32, 0.15, 11.71, -0.01, 0.02, 0.01
462297, 0.33, 0.14, 11.73, -0.01, 0.02, 0.02
462397, 0.34, 0.16, 11.69, -0.01, 0.02, 0.02
462497, 0.32, 0.16, 11.69, -0.01, 0.02, 0.02
462597, 0.32, 0.14, 11.71, -0.01, 0.02, 0.02
462697, 0.30, 0.14, 11.72, -0.01, 0.02, 0.01
462797, 0.31, 0.15, 11.71, -0.01, 0.02, 0.01
462897, 0.29, 0.14, 11.72, -0.01, 0.02, 0.02
462997, 0.28, 0.14, 11.71, -0.01, 0.02, 0.01
463097, 0.28, 0.13, 11.71, -0.01, 0.02, 0.01
463197, 0.31, 0.14, 11.71, -0.01, 0.02, 0.02
463297, 0.31, 0.14, 11.72, -0.01, 0.02, 0.02
463397, 0.32, 0.15, 11.71, -0.01, 0.02, 0.01
463894, 3.37, -2.57, 10.30, 0.05, 0.17, 0.05
463993, 0.12, 2.00, 12.04, 0.14, -0.04, 0.01
464093, -0.64, 1.02, 11.83, 0.01, 0.05, 0.01
464193, 0.40, 0.52, 11.89, -0.02, 0.01, 0.03
464293, 0.26, 0.07, 12.04, -0.03, 0.01, 0.03
464393, 0.32, 0.01, 11.66, -0.01, 0.02, 0.01
464493, 0.33, 0.06, 11.72, -0.01, 0.02, 0.02
464732, 0.32, 0.08, 11.74, -0.01, 0.02, 0.01
464831, -0.19, -2.15, 11.53, -0.01, 0.04, 0.04
464931, 0.37, -1.70, 12.16, 0.03, 0.04, 0.06
465031, -0.59, 0.26, 12.10, -0.11, -0.02, 0.07
465131, 0.94, 0.03, 11.18, 0.03, -0.09, 0.00
465231, -0.23, -0.61, 11.32, 0.07, 0.10, 0.02
465331, -1.20, 2.47, 13.11, 0.03, -0.02, 0.09
465431, -0.49, -1.60, 10.77, -0.05, -0.03, 0.13
465531, 2.29, -1.09, 10.38, -0.12, 0.05, 0.21
465631, -1.98, 3.12, 12.41, 0.08, 0.06, 0.13
465882, 0.43, -1.84, 10.69, -0.01, 0.02, 0.23
465981, 0.47, -0.93, 10.99, 0.03, -0.09, 0.19
466093, 5.06, -58.72, 8.27, -0.32, -6.75, 0.48
466181, 0.95, 0.81, 12.27, 0.09, -0.03, 0.03
466680, 7.13, -11.35, 9.44, -0.16, -0.70, 1.46
466780, -3.05, 0.97, 17.29, -0.02, 0.09, 0.29
467040, 0.26, 0.02, 11.72, -0.01, 0.02, 0.01
467758, 14.43, 5.47, 12.36, -0.48, 0.34, -1.50
468004, 0.20, 0.04, 11.79, -0.01, 0.02, 0.02
468103, -0.42, -2.97, 11.53, -0.05, -0.01, 0.08
468203, -1.33, -6.26, 10.22, -0.04, -0.12, 0.04
