timestamp, accX, accY, accZ, gyroX, gyroY, gyroZ
36787, 0.31, 0.12, 11.66, -0.01, 0.02, 0.02
36884, 0.31, 0.13, 11.66, -0.01, 0.02, 0.01
36984, 0.33, 0.10, 11.70, -0.01, 0.02, 0.01
37084, 0.32, 0.12, 11.70, -0.01, 0.02, 0.02
37184, 0.32, 0.13, 11.69, -0.01, 0.02, 0.02
37284, 0.33, 0.12, 11.66, -0.01, 0.02, 0.01
37384, 0.34, 0.14, 11.70, -0.01, 0.02, 0.02
37484, 0.34, 0.13, 11.70, -0.01, 0.02, 0.01
37584, 0.34, 0.14, 11.68, -0.01, 0.02, 0.02
37684, 0.34, 0.14, 11.68, -0.01, 0.02, 0.02
37784, 0.32, 0.12, 11.67, -0.01, 0.02, 0.01
37884, 0.31, 0.11, 11.70, -0.01, 0.02, 0.02
37984, 0.31, 0.12, 11.70, -0.01, 0.02, 0.02
38084, 0.32, 0.11, 11.70, -0.01, 0.02, 0.01
38351, 0.30, 0.11, 11.68, -0.01, 0.02, 0.01
38450, -0.76, -2.68, 11.83, 0.02, -0.02, 0.09
38550, 2.60, -1.65, 10.02, -0.07, -0.05, 0.09
38650, -2.03, -0.48, 13.03, 0.04, -0.04, 0.09
38750, 1.19, -1.68, 11.43, -0.04, -0.03, 0.05
38850, 1.59, 3.19, 14.03, 0.02, 0.03, 0.13
38950, 0.38, -0.97, 11.33, 0.22, 0.13, 0.14
39050, 0.62, 0.72, 13.43, 0.20, -0.00, 0.16
39150, 1.65, -1.85, 10.51, 0.06, 0.02, 0.15
39464, 0.06, -2.23, 11.82, 0.06, 0.14, 0.18
39563, -0.73, 2.25, 9.29, 0.06, 0.02, 0.17
40116, -0.66, 1.28, 9.25, -0.00, -0.08, -1.95
40215, -1.30, -0.13, 9.47, 0.01, 0.11, -0.21
40315, 0.41, 0.02, 11.64, -0.01, 0.03, 0.01
40581, 0.29, 0.06, 11.68, -0.01, 0.02, 0.02
40680, 0.22, -4.60, 12.92, 0.03, 0.00, 0.04
40931, -2.82, -0.42, 12.27, -0.03, 0.13, 0.13
41030, 4.11, 2.41, 9.42, -0.07, 0.10, 0.10
41130, 1.31, 1.20, 10.19, -0.01, 0.00, 0.06
41230, 0.61, 1.05, 11.87, 0.01, -0.00, 0.02
41330, -0.00, 0.87, 12.11, -0.01, 0.02, 0.02
41430, 0.34, 0.01, 11.65, -0.02, 0.02, 0.01
41711, 0.36, 0.09, 11.68, -0.01, 0.02, 0.02
41810, 0.76, -0.26, 13.31, -0.22, 0.11, 0.07
41910, -0.31, -2.87, 12.10, -0.29, 0.05, 0.09
42010, -0.93, 0.54, 12.24, 0.02, 0.20, 0.14
