timestamp, accX, accY, accZ, gyroX, gyroY, gyroZ
429699, 11.09, 11.35, 12.93, 0.80, -0.80, 1.10
429797, 11.11, 11.35, 12.83, 0.84, -0.82, 1.08
429897, 11.08, 11.21, 12.95, 0.84, -0.79, 1.07
429997, 11.03, 11.28, 12.91, 0.79, -0.83, 1.06
430097, 11.01, 11.31, 12.88, 0.89, -0.79, 1.10
430197, 11.08, 11.27, 13.01, 0.81, -0.80, 1.07
430461, 10.98, 11.31, 12.88, 0.87, -0.79, 1.07
430560, 11.43, 1.51, 11.88, 1.06, -0.88, 1.36
430660, 7.73, -1.26, 7.05, 0.70, -0.02, 0.26
430760, 7.63, 1.21, 11.63, 1.35, -1.14, 1.38
430860, 8.08, 16.13, 19.38, 0.92, -0.51, 0.67
430960, 14.82, 18.75, 20.63, 0.69, -0.74, 1.20
431060, 9.26, 10.24, 6.96, -0.42, -1.20, 0.73
431160, 10.60, 10.08, 0.39, 4.89, -0.96, 0.48
431260, 25.78, 5.28, -8.25, 3.07, -1.13, 1.52
431360, 3.17, 22.55, 14.29, 0.21, -0.76, -0.40
431460, 32.23, 9.62, -0.36, 0.50, -0.21, 0.67
431560, 26.15, 6.87, -0.23, 0.37, -0.64, 1.73
431660, 20.55, 2.71, 9.32, 1.05, -0.18, 0.60
431760, 8.31, 55.57, 22.45, -2.65, -2.42, 1.40
431860, 4.80, 0.35, 23.92, 3.77, -0.75, 1.98
431960, 30.81, 17.82, 22.80, 3.15, -1.47, 2.03
432060, 25.46, -13.58, 32.00, 1.90, -1.93, 0.75
432160, -31.43, -45.93, 30.40, -1.19, -0.62, -1.59
432260, 16.12, 23.43, 7.57, 1.09, -0.50, 1.03
432360, 16.82, 14.84, 6.18, -0.45, -1.27, 0.27
432460, -0.48, 10.92, 15.33, 1.24, -0.58, 1.89
432560, 7.68, 12.66, 13.02, 0.83, -1.09, 0.06
432660, 32.00, -20.15, 0.70, 2.46, -1.07, 0.85
432760, 6.35, 16.09, -0.76, -0.49, -0.62, 2.13
432860, -4.73, 7.07, 10.49, 0.85, -1.37, 2.41
432960, 12.06, 15.68, 1.29, 0.42, -0.57, 1.23
433060, 22.96, 20.71, 10.20, 1.16, -0.91, 1.28
433357, 6.09, 10.49, 6.41, 0.59, -0.51, 1.91
433456, 17.69, 20.47, 26.00, 0.74, -0.73, 1.67
433556, 6.11, 16.04, 20.48, 0.84, -1.03, 0.96
433656, 10.67, 10.53, 9.57, 0.80, -0.78, 1.10
433756, 13.02, 10.67, 12.91, 0.97, -0.86, 0.92
433856, 11.38, 11.61, 12.86, 0.80, -0.80, 1.07
433956, 10.73, 11.33, 12.49, 0.80, -0.80, 1.10
434056, 11.13, 11.29, 13.01, 0.82, -0.81, 1.08
434156, 11.04, 11.31, 12.97, 0.83, -0.81, 1.06
434256, 11.12, 11.30, 12.90, 0.86, -0.79, 1.09
434356, 11.12, 11.19, 12.94, 0.80, -0.81, 1.11
