timestamp, accX, accY, accZ, gyroX, gyroY, gyroZ
26651, -3.51, 1.82, 13.26, 0.17, 0.33, 0.06
26750, -1.15, 5.69, 9.77, 0.05, -0.04, 0.10
26850, -4.17, 3.84, 13.66, 0.01, 0.05, 0.00
26950, -2.22, 1.82, 13.93, 0.04, 0.03, 0.04
27050, -0.66, 1.00, 11.68, 0.01, 0.06, -0.01
27292, 0.16, 0.27, 11.66, -0.01, 0.02, 0.02
27389, 0.15, 0.10, 11.64, -0.01, 0.02, 0.02
27489, 0.16, 0.13, 11.65, -0.01, 0.02, 0.02
27589, 0.16, 0.11, 11.64, -0.01, 0.02, 0.02
27689, 0.18, 0.12, 11.64, -0.01, 0.02, 0.02
27789, 0.16, 0.14, 11.65, -0.01, 0.02, 0.02
27889, 0.16, 0.12, 11.63, -0.01, 0.02, 0.02
27989, 0.14, 0.13, 11.64, -0.01, 0.02, 0.02
28089, 0.18, 0.13, 11.65, -0.01, 0.02, 0.02
28189, 0.20, 0.12, 11.63, -0.01, 0.02, 0.02
28289, 0.19, 0.12, 11.61, -0.01, 0.02, 0.01
28389, 0.16, 0.12, 11.66, -0.01, 0.02, 0.01
28489, 0.16, 0.12, 11.64, -0.01, 0.02, 0.02
28589, 0.16, 0.12, 11.66, -0.01, 0.02, 0.02
28689, 0.18, 0.13, 11.63, -0.01, 0.02, 0.01
28789, 0.19, 0.12, 11.64, -0.01, 0.02, 0.02
