timestamp, accX, accY, accZ, gyroX, gyroY, gyroZ
36175, 0.35, 0.16, 11.68, -0.01, 0.02, 0.02
36272, 0.37, 0.14, 11.70, -0.01, 0.02, 0.01
36372, 0.35, 0.15, 11.67, -0.01, 0.02, 0.01
36472, 0.33, 0.15, 11.68, -0.01, 0.02, 0.02
36572, 0.37, 0.17, 11.69, -0.01, 0.02, 0.02
36672, 0.35, 0.15, 11.68, -0.01, 0.02, 0.02
36772, 0.34, 0.14, 11.70, -0.01, 0.02, 0.02
36872, 0.36, 0.14, 11.70, -0.01, 0.02, 0.02
36972, 0.36, 0.16, 11.69, -0.01, 0.02, 0.02
37072, 0.33, 0.13, 11.68, -0.01, 0.02, 0.02
37172, 0.37, 0.14, 11.69, -0.01, 0.02, 0.02
37436, 0.34, 0.14, 11.69, -0.01, 0.02, 0.01
37535, 0.30, -1.64, 11.47, -0.08, 0.05, 0.04
37635, 0.64, -1.41, 11.69, 0.02, 0.03, 0.05
37735, 1.05, 1.84, 12.89, -0.21, -0.08, 0.02
37835, 1.83, -3.25, 10.85, -0.30, -0.07, 0.04
37935, -1.21, 3.18, 13.21, 0.27, 0.06, 0.02
38035, 0.55, -1.96, 10.61, 0.14, 0.17, -0.01
38135, -0.44, -1.22, 10.49, 0.23, 0.04, 0.09
38235, 1.59, -1.31, 10.09, 0.16, -0.05, 0.03
38335, 1.31, 1.26, 11.28, -0.02, 0.03, 0.09
38435, 0.11, -2.47, 12.70, 0.16, 0.07, 0.12
38535, -1.53, 2.37, 12.76, 0.22, -0.05, 0.09
38635, -0.01, 0.09, 11.55, -0.31, 0.08, 0.08
38735, -0.26, -4.11, 10.89, 0.17, 0.07, 0.02
38835, -3.31, 2.21, 6.64, -1.00, -0.06, -0.14
38935, 2.64, 1.66, 12.73, 0.12, 0.11, 0.03
39035, 3.40, -6.11, 6.13, 1.85, 0.35, -0.06
39135, 1.93, -2.08, 9.49, 0.07, -0.07, 0.06
39235, 2.95, -1.07, 10.13, 0.10, 0.06, 0.01
39335, -1.28, 0.17, 13.17, -0.16, -0.13, 0.09
39435, -1.64, 4.11, 4.18, -0.39, 0.22, -0.10
39535, 0.95, 0.07, 12.29, -0.03, -0.20, 0.05
39635, 3.03, -0.98, 9.89, -0.10, -0.09, 0.05
39735, 1.08, -1.09, 11.11, 0.24, 0.15, 0.07
39835, -1.05, 0.33, 12.45, -0.25, -0.07, 0.14
39935, 1.92, -3.12, 8.41, 0.03, 0.05, 0.10
40035, -1.28, 5.00, 12.85, 0.09, 0.03, 0.10
40135, -3.28, -1.61, 14.29, -0.04, -0.00, 0.08
40235, 1.85, 2.83, 11.65, -0.02, -0.10, 0.06
40335, -1.93, -1.72, 12.86, -0.05, 0.17, 0.01
40435, -2.53, -1.51, 12.17, 0.02, -0.06, -0.00
40535, 2.79, 0.03, 6.90, 0.05, -0.06, 0.06
40635, -1.27, 0.49, 12.54, 0.23, 0.03, 0.03
40735, -4.24, -0.88, 13.42, 0.01, -0.12, 0.10
40835, 2.52, -1.93, 9.27, 0.05, -0.04, 0.09
40935, -2.21, 3.06, 14.04, -0.01, 0.04, 0.08
41035, 0.74, -3.22, 10.92, -0.08, -0.13, 0.06
41135, 3.29, 1.09, 11.12, 0.03, 0.21, 0.09
41235, -3.51, -1.41, 12.90, -0.03, -0.08, 0.11
41335, 2.79, 2.94, 11.13, -0.02, 0.04, 0.01
41435, -0.16, -2.81, 10.95, 0.02, 0.12, 0.06
41535, 0.02, 2.76, 11.55, -0.03, -0.08, 0.05
41635, 0.23, -1.48, 11.40, -0.17, -0.01, 0.05
41735, 0.67, -0.87, 11.51, 0.20, 0.10, 0.05
41835, -0.06, 0.85, 13.11, -0.07, -0.10, 0.09
41935, 1.35, -3.12, 10.72, -0.05, -0.18, 0.12
42035, 1.67, 1.60, 11.49, 0.10, 0.20, 0.07
42135, -1.34, -0.49, 12.81, -0.19, -0.05, 0.13
42390, 2.65, 1.50, 10.86, 0.03, 0.14, 0.10
42489, 2.12, 2.57, 12.32, 0.17, -0.03, 0.06
42589, -0.93, 0.39, 13.23, 0.03, -0.04, 0.00
42689, 0.68, 1.22, 11.31, 0.01, 0.03, 0.03
42789, 0.32, 0.72, 11.73, -0.02, 0.03, 0.04
42889, 0.32, 0.20, 11.65, -0.01, 0.02, 0.02
42989, 0.33, 0.19, 11.70, -0.01, 0.02, 0.02
43089, 0.31, 0.16, 11.71, -0.01, 0.02, 0.02
43189, 0.32, 0.15, 11.72, -0.01, 0.02, 0.02
43289, 0.37, 0.15, 11.71, -0.01, 0.02, 0.02
43562, 0.32, 0.17, 11.71, -0.01, 0.02, 0.02
